Location,Crop,Region,Soil Type,Rainfall (mm),Temperature (°C),Drought Tolerance,Flood Resistance,Heat Resilience,Yield Under Stress (tons/ha)
Uttarakhand,Maize,North,Peaty,1299.86,36.5,0.81,0.08,0.43,4.79
Jharkhand,Soybean,North,Loamy,691.36,33.9,0.25,0.4,0.26,4.14
Andhra Pradesh,Rice,West,Clay,1212.45,34.3,0.03,0.64,0.26,4.23
Jharkhand,Maize,East,Peaty,1055.81,31.4,0.33,0.1,0.71,9.53
Himachal Pradesh,Maize,East,Clay,1191.98,21.6,0.89,0.82,0.98,1.88
Kerala,Maize,South,Silt,463.19,32.5,0.73,0.48,0.41,2.82
Sikkim,Wheat,South,Silt,838.09,38.7,0.63,0.87,0.95,4.29
Meghalaya,Rice,West,Peaty,1172.92,38.4,0.06,0.2,0.64,4.49
Manipur,Soybean,South,Loamy,1049.4,26.0,0.93,0.92,0.14,3.57
Jammu and Kashmir,Soybean,Central,Silt,457.25,22.3,0.62,0.65,0.5,8.73
Meghalaya,Wheat,South,Sandy,1229.71,31.9,0.9,0.94,0.28,2.2
Andhra Pradesh,Rice,West,Silt,1287.49,34.5,0.75,0.65,0.88,9.13
Himachal Pradesh,Cotton,East,Clay,1035.36,17.8,0.51,0.86,0.79,8.86
Rajasthan,Soybean,South,Clay,1419.72,31.7,0.37,0.5,0.83,3.99
Himachal Pradesh,Rice,East,Loamy,1016.81,18.1,0.5,0.49,0.18,3.97
Punjab,Maize,South,Sandy,705.92,32.2,0.23,0.56,0.78,2.66
Jharkhand,Wheat,North,Sandy,961.98,26.6,0.77,0.67,0.42,3.02
Uttar Pradesh,Rice,West,Sandy,639.82,36.4,0.08,0.19,0.14,4.73
Telangana,Maize,South,Loamy,492.14,29.6,0.79,0.77,0.7,6.21
Rajasthan,Maize,West,Silt,754.19,16.5,0.68,0.54,1.0,9.8
Haryana,Rice,South,Clay,1248.66,24.9,0.06,0.22,0.29,5.93
Bihar,Soybean,North,Silt,425.58,20.2,0.18,0.4,0.37,6.88
Bihar,Wheat,North,Loamy,445.51,17.0,0.06,0.96,0.48,3.52
Goa,Rice,North,Silt,228.02,15.8,0.04,0.85,0.76,9.29
Sikkim,Cotton,East,Sandy,1240.04,30.5,0.43,0.04,0.09,4.35
Bihar,Cotton,North,Silt,957.96,23.8,0.01,0.49,0.3,1.97
Tamil Nadu,Rice,North,Silt,581.79,27.4,0.26,0.42,0.31,7.99
Sikkim,Rice,East,Clay,640.31,23.3,0.52,0.8,0.65,3.69
Uttarakhand,Soybean,South,Silt,529.06,33.7,0.78,0.51,0.9,5.56
Haryana,Cotton,West,Loamy,363.02,27.2,0.64,0.97,0.95,2.16
Nagaland,Soybean,North,Loamy,478.4,30.6,0.54,0.5,0.6,4.79
Sikkim,Wheat,Central,Peaty,1282.41,29.8,0.23,0.85,0.34,8.67
Gujarat,Maize,Central,Loamy,266.16,28.2,0.33,0.24,0.62,6.69
Himachal Pradesh,Cotton,East,Peaty,974.76,37.7,0.57,0.74,0.51,7.39
Gujarat,Maize,South,Loamy,876.37,25.8,0.8,0.43,0.45,4.53
Uttarakhand,Wheat,South,Sandy,894.9,33.6,0.13,0.41,0.89,6.69
Bihar,Cotton,Central,Clay,919.43,35.1,0.31,0.69,0.44,8.99
Rajasthan,Rice,North,Peaty,1079.94,27.5,1.0,0.93,0.92,3.09
Goa,Cotton,South,Silt,1066.23,29.9,0.26,0.78,0.26,7.83
Manipur,Wheat,North,Loamy,826.3,21.2,0.97,0.26,0.85,5.48
Andhra Pradesh,Rice,East,Silt,529.99,18.7,0.35,0.24,0.29,6.21
West Bengal,Soybean,North,Clay,1028.18,18.9,0.56,0.85,0.83,9.79
Uttarakhand,Maize,East,Loamy,372.2,25.8,0.2,0.75,0.26,2.47
Jharkhand,Maize,East,Silt,1330.67,32.2,0.21,0.1,0.18,3.65
Nagaland,Wheat,Central,Clay,1108.53,24.3,0.11,0.66,0.88,3.8
Goa,Maize,South,Sandy,604.1,19.9,0.62,0.12,0.66,9.85
Kerala,Wheat,South,Sandy,1469.55,28.0,0.27,0.55,0.56,2.11
Himachal Pradesh,Rice,Central,Silt,1172.62,37.5,0.22,0.29,0.62,3.21
Chhattisgarh,Soybean,West,Clay,381.89,34.8,0.61,0.11,0.69,7.04
Andhra Pradesh,Wheat,East,Silt,386.63,18.1,0.97,0.61,0.3,4.59
Uttarakhand,Rice,West,Silt,268.9,20.1,0.1,0.18,0.05,9.46
Karnataka,Maize,North,Sandy,1310.76,17.3,0.86,0.73,0.82,2.99
West Bengal,Wheat,East,Sandy,1170.48,20.5,0.07,0.12,0.26,2.85
Odisha,Maize,East,Clay,1352.42,27.9,0.79,0.09,0.66,6.14
Uttarakhand,Cotton,South,Silt,961.1,37.0,0.85,0.68,0.62,7.12
Telangana,Maize,Central,Silt,857.08,26.2,0.5,0.73,0.57,8.79
Tamil Nadu,Wheat,North,Loamy,983.72,28.0,0.58,0.77,0.2,7.59
Karnataka,Wheat,East,Clay,551.42,35.3,0.38,0.01,0.31,9.51
Uttarakhand,Wheat,South,Clay,873.89,18.2,0.22,0.16,0.92,9.45
Jharkhand,Rice,West,Silt,333.88,29.3,0.37,0.44,0.2,2.4
Himachal Pradesh,Soybean,East,Loamy,1336.96,15.8,0.04,0.3,0.69,1.94
Uttar Pradesh,Soybean,Central,Peaty,995.85,29.0,0.92,0.95,0.09,7.81
Goa,Cotton,South,Sandy,1088.2,21.7,0.29,0.43,0.95,9.28
Goa,Wheat,East,Sandy,351.01,22.8,0.38,0.74,0.42,4.31
Gujarat,Wheat,Central,Loamy,1036.57,33.5,0.61,0.55,0.11,8.36
Gujarat,Maize,Central,Clay,832.13,17.5,0.02,0.25,0.35,6.61
Maharashtra,Rice,Central,Clay,421.28,21.3,0.31,0.19,0.03,9.24
Himachal Pradesh,Rice,West,Sandy,847.06,22.0,0.7,0.23,0.34,7.71
Telangana,Wheat,North,Loamy,246.1,39.5,0.55,0.79,0.52,2.85
Bihar,Wheat,East,Sandy,969.76,23.2,0.67,0.72,0.61,1.83
Uttar Pradesh,Soybean,North,Clay,457.06,18.3,0.26,0.85,0.43,7.27
Odisha,Soybean,West,Sandy,381.55,21.8,0.05,0.49,0.78,6.26
Sikkim,Rice,Central,Sandy,1285.93,27.8,0.8,0.09,0.76,4.59
Himachal Pradesh,Soybean,Central,Sandy,550.51,19.1,0.02,0.14,0.82,8.55
Haryana,Cotton,West,Loamy,681.23,18.5,0.18,0.7,0.64,5.0
Jharkhand,Cotton,Central,Sandy,1145.62,28.5,0.25,0.62,0.86,7.42
Chhattisgarh,Rice,South,Loamy,747.79,34.7,0.14,0.43,0.92,4.12
Karnataka,Wheat,North,Clay,645.8,27.4,0.02,0.12,0.79,8.36
Tamil Nadu,Wheat,Central,Loamy,1146.85,15.9,0.5,0.17,0.79,6.51
Uttarakhand,Soybean,West,Silt,808.84,29.6,0.36,0.46,0.98,6.62
Karnataka,Wheat,West,Sandy,713.69,38.4,0.79,0.01,0.07,9.44
Meghalaya,Soybean,West,Sandy,1191.76,30.3,0.58,0.86,0.7,9.81
Meghalaya,Rice,North,Loamy,1112.79,36.1,0.84,0.23,0.5,9.52
Rajasthan,Rice,North,Loamy,276.96,20.0,0.3,0.13,0.72,2.99
Haryana,Soybean,West,Clay,876.15,24.7,0.66,0.92,0.97,1.12
Tripura,Rice,North,Sandy,737.55,19.4,0.93,0.39,0.94,8.53
Bihar,Soybean,South,Clay,570.02,28.7,0.21,0.2,0.18,1.02
Telangana,Wheat,West,Clay,317.98,25.1,0.77,0.88,0.99,3.04
Andhra Pradesh,Soybean,North,Sandy,658.7,26.8,0.09,0.27,0.33,5.04
Jammu and Kashmir,Rice,Central,Loamy,1409.19,38.7,0.72,0.98,0.47,1.06
Kerala,Maize,West,Peaty,379.21,32.6,0.37,0.09,0.14,6.95
Nagaland,Maize,North,Silt,478.47,38.7,0.49,0.59,0.94,6.12
Madhya Pradesh,Cotton,North,Silt,777.97,37.1,0.17,0.82,0.39,2.38
Uttar Pradesh,Soybean,North,Peaty,983.4,21.1,0.5,0.41,0.06,2.01
Meghalaya,Rice,East,Silt,268.74,28.8,0.51,0.98,0.64,5.93
Goa,Wheat,West,Peaty,1205.38,22.7,0.38,0.74,0.86,9.78
Odisha,Maize,North,Peaty,466.92,29.8,0.75,0.56,0.6,6.63
Haryana,Cotton,North,Loamy,351.23,19.6,0.93,0.65,0.74,3.76
Uttar Pradesh,Wheat,West,Silt,587.55,31.5,0.85,0.99,0.52,2.52
Uttarakhand,Cotton,East,Clay,949.89,29.1,0.9,0.87,0.31,2.71
Kerala,Maize,West,Peaty,1019.06,16.8,0.12,0.68,0.06,1.28
Chhattisgarh,Rice,West,Clay,303.58,20.7,0.72,0.86,0.03,4.75
Sikkim,Wheat,North,Loamy,751.07,23.8,0.48,0.65,0.37,4.66
Madhya Pradesh,Cotton,South,Peaty,998.36,34.5,0.04,0.55,0.52,6.05
West Bengal,Cotton,Central,Loamy,977.01,17.8,0.01,0.67,0.12,4.31
Meghalaya,Cotton,North,Loamy,599.93,24.0,0.65,0.45,0.16,9.76
Bihar,Soybean,Central,Peaty,565.47,35.1,0.33,0.36,0.31,1.15
Sikkim,Cotton,Central,Peaty,1002.21,15.7,0.16,0.95,0.31,5.75
Telangana,Maize,West,Loamy,229.92,24.3,0.03,0.28,0.28,9.59
Andhra Pradesh,Wheat,North,Silt,414.58,36.5,0.53,0.26,0.99,3.59
Haryana,Soybean,East,Loamy,658.06,35.0,0.31,0.19,0.54,5.47
Haryana,Maize,Central,Silt,1012.11,30.5,0.4,0.5,0.14,7.04
Maharashtra,Rice,North,Sandy,1248.0,32.8,0.23,0.3,0.59,1.28
Haryana,Maize,East,Loamy,906.98,20.4,0.37,0.98,0.78,5.74
Sikkim,Maize,North,Loamy,548.88,31.1,0.53,0.59,0.12,8.76
Madhya Pradesh,Soybean,East,Sandy,732.31,18.2,0.93,0.2,0.46,7.28
Uttar Pradesh,Soybean,North,Clay,1107.75,16.7,0.45,0.29,0.25,4.6
Manipur,Rice,South,Loamy,1311.48,39.3,0.08,0.24,0.93,1.09
Jammu and Kashmir,Soybean,North,Peaty,712.33,33.9,0.38,0.34,0.77,2.23
Nagaland,Cotton,West,Peaty,450.79,27.4,0.53,0.69,0.76,8.85
Tamil Nadu,Maize,West,Clay,699.49,23.0,0.96,0.99,0.1,5.83
Delhi,Soybean,East,Sandy,438.42,24.3,0.27,0.94,0.1,3.04
Meghalaya,Soybean,South,Peaty,911.88,31.8,0.15,0.25,0.74,7.07
Manipur,Rice,East,Clay,1195.66,34.1,0.9,0.19,0.58,1.59
Assam,Maize,East,Clay,779.83,31.2,0.91,0.01,0.88,5.51
Nagaland,Maize,West,Silt,845.06,16.4,0.31,0.5,0.23,1.04
Manipur,Soybean,West,Peaty,638.01,33.7,0.39,0.65,0.46,5.77
Arunachal Pradesh,Cotton,Central,Clay,840.47,19.3,0.6,0.84,0.16,2.77
Kerala,Maize,West,Silt,1174.97,32.5,0.56,0.77,0.56,4.91
Telangana,Maize,West,Sandy,1479.45,25.5,0.02,0.78,0.32,9.91
Assam,Wheat,South,Loamy,296.08,17.9,0.3,0.1,0.47,8.77
Uttarakhand,Wheat,South,Clay,266.21,36.8,0.36,0.96,0.58,3.22
Meghalaya,Soybean,East,Peaty,1481.82,35.3,0.13,0.75,0.64,6.76
Karnataka,Rice,East,Loamy,220.23,35.2,0.23,0.03,0.26,8.91
Gujarat,Maize,East,Peaty,1330.22,32.2,0.29,0.77,0.68,7.44
Himachal Pradesh,Cotton,East,Clay,1325.05,21.0,0.03,0.86,0.62,2.68
West Bengal,Soybean,South,Clay,481.72,33.5,0.29,0.38,0.82,4.72
Chhattisgarh,Wheat,Central,Sandy,953.9,30.5,0.01,0.33,0.95,1.98
Tripura,Cotton,South,Peaty,588.48,28.4,0.64,0.28,0.03,2.58
Kerala,Cotton,East,Clay,795.76,38.6,0.57,0.71,0.76,3.02
Manipur,Soybean,Central,Clay,1092.07,15.7,0.95,0.29,0.44,7.14
Sikkim,Soybean,East,Silt,1000.78,37.3,0.46,0.32,0.91,9.36
Kerala,Wheat,West,Clay,1400.11,37.9,0.2,0.36,0.24,4.61
Kerala,Wheat,North,Loamy,235.03,37.9,0.92,0.77,0.27,2.36
Tripura,Soybean,South,Silt,755.76,27.5,0.36,0.73,0.67,8.39
Haryana,Soybean,West,Silt,1071.01,38.2,0.17,0.07,0.6,7.54
Himachal Pradesh,Soybean,East,Loamy,1175.7,30.3,0.37,0.52,0.88,4.68
West Bengal,Maize,North,Clay,820.22,22.2,0.54,0.88,0.83,3.69
Madhya Pradesh,Wheat,South,Clay,355.37,23.0,0.9,0.36,0.29,5.26
Manipur,Rice,West,Silt,1379.65,31.6,0.3,0.51,0.15,2.67
Jammu and Kashmir,Rice,South,Sandy,201.17,25.9,0.38,0.72,0.4,8.26
Gujarat,Soybean,North,Loamy,1352.58,34.3,0.23,0.81,0.93,1.27
Assam,Maize,East,Clay,539.74,15.3,0.9,0.72,0.75,7.72
Uttar Pradesh,Maize,Central,Sandy,943.55,26.1,0.72,0.38,0.45,6.49
Andhra Pradesh,Maize,North,Sandy,1206.65,36.1,0.84,0.78,0.13,3.33
Nagaland,Soybean,Central,Sandy,963.12,36.3,0.91,0.27,0.21,2.54
Chhattisgarh,Soybean,North,Sandy,608.03,31.6,0.24,0.73,0.81,4.36
Himachal Pradesh,Wheat,South,Clay,897.16,32.7,0.75,0.93,0.18,4.59
Haryana,Soybean,East,Sandy,573.28,39.2,0.85,0.99,0.8,6.08
Tripura,Wheat,Central,Clay,771.78,38.9,0.9,0.92,0.96,7.96
West Bengal,Maize,South,Clay,486.08,16.5,0.18,0.89,0.98,1.27
Chhattisgarh,Soybean,North,Loamy,342.03,37.1,0.34,0.53,0.47,1.83
Madhya Pradesh,Cotton,East,Sandy,202.07,30.4,0.04,0.49,0.02,4.6
Assam,Rice,South,Loamy,528.96,30.4,0.89,0.64,0.14,4.85
Manipur,Maize,North,Sandy,1373.21,36.4,0.43,0.65,0.39,9.55
Arunachal Pradesh,Wheat,Central,Silt,732.69,16.9,0.53,0.86,0.3,5.74
Maharashtra,Soybean,West,Loamy,644.73,30.3,0.85,0.01,0.75,4.01
Tripura,Cotton,South,Loamy,1022.05,22.7,0.19,0.25,0.5,2.52
Rajasthan,Maize,East,Sandy,777.65,33.0,0.53,0.04,0.04,2.33
Himachal Pradesh,Soybean,East,Loamy,1018.12,28.0,0.31,0.35,0.27,1.68
Jharkhand,Wheat,South,Silt,659.84,38.0,0.2,0.66,0.13,2.27
Tripura,Rice,East,Peaty,1321.22,34.3,0.99,0.27,0.35,4.84
Manipur,Rice,North,Loamy,1168.25,38.3,0.53,0.93,0.48,9.61
Arunachal Pradesh,Rice,East,Loamy,1185.37,17.6,0.92,0.41,0.22,7.94
Karnataka,Soybean,Central,Silt,1197.84,37.7,0.13,0.26,0.16,2.39
West Bengal,Rice,North,Clay,753.32,17.8,0.68,0.55,0.24,2.2
Meghalaya,Cotton,South,Sandy,311.09,35.5,0.08,0.07,0.65,1.26
Rajasthan,Rice,Central,Sandy,1098.18,31.2,0.19,0.45,0.02,8.8
Arunachal Pradesh,Maize,East,Peaty,1319.53,31.4,0.45,0.03,0.3,2.74
Delhi,Soybean,Central,Sandy,1262.5,15.5,0.54,0.41,0.8,6.23
Mizoram,Maize,South,Peaty,724.2,20.4,0.09,0.53,0.65,1.58
Himachal Pradesh,Wheat,West,Clay,1282.89,21.9,0.11,0.76,0.52,5.1
Uttarakhand,Cotton,North,Sandy,392.72,28.3,0.89,0.27,0.68,1.35
Tripura,Maize,West,Peaty,308.69,27.4,0.71,0.67,0.3,5.31
Gujarat,Cotton,West,Peaty,1466.4,16.3,0.42,0.14,0.28,7.32
Andhra Pradesh,Maize,East,Loamy,706.27,16.3,0.94,0.07,0.78,4.66
Rajasthan,Rice,North,Clay,639.1,31.8,0.02,0.4,1.0,2.87
Sikkim,Maize,East,Silt,1424.8,35.5,0.41,0.67,0.9,6.64
Delhi,Rice,Central,Clay,746.89,28.2,0.74,0.18,0.02,3.13
Assam,Rice,North,Peaty,1247.48,36.7,0.48,0.86,0.36,2.13
Goa,Wheat,South,Clay,496.74,20.2,0.96,0.49,0.03,6.19
Jammu and Kashmir,Wheat,Central,Sandy,912.43,40.0,0.08,0.94,0.84,1.12
Rajasthan,Wheat,South,Sandy,627.12,15.1,0.91,0.34,0.82,8.02
Sikkim,Wheat,Central,Silt,1485.79,32.9,0.23,0.15,0.07,5.79
Jharkhand,Cotton,South,Sandy,294.05,26.0,0.12,0.35,0.13,2.18
Haryana,Rice,West,Sandy,202.45,16.1,0.87,0.35,0.08,9.43
Tamil Nadu,Soybean,East,Sandy,1482.5,19.1,0.42,0.72,0.96,3.87
Uttar Pradesh,Cotton,North,Sandy,417.18,38.9,0.05,0.67,0.26,4.62
Sikkim,Maize,Central,Silt,1421.88,36.5,0.92,0.04,0.58,3.37
Maharashtra,Rice,North,Silt,726.12,30.1,0.42,0.49,0.82,8.56
Karnataka,Wheat,North,Clay,1452.3,39.3,0.19,0.75,0.04,9.5
Jammu and Kashmir,Cotton,South,Silt,439.13,24.5,0.71,0.92,0.93,1.02
Delhi,Cotton,East,Loamy,512.14,18.2,0.9,0.57,0.18,3.71
Haryana,Soybean,East,Peaty,468.09,17.9,0.71,0.48,0.2,6.87
Odisha,Rice,East,Peaty,1244.37,37.0,0.25,0.13,0.84,6.67
West Bengal,Cotton,Central,Silt,1142.82,18.2,0.76,0.96,0.11,1.4
Telangana,Rice,West,Peaty,274.43,26.1,0.67,0.2,0.96,1.88
Uttarakhand,Maize,West,Peaty,405.19,29.8,0.54,0.64,0.63,4.69
Arunachal Pradesh,Soybean,East,Silt,874.9,23.1,0.54,0.38,0.14,9.96
Uttar Pradesh,Soybean,East,Sandy,1121.55,21.1,0.86,0.63,0.88,7.35
Telangana,Maize,North,Clay,726.62,22.7,0.36,0.97,0.21,8.31
Tamil Nadu,Soybean,North,Silt,403.96,35.9,0.73,0.75,0.97,8.03
Assam,Rice,East,Peaty,341.29,22.3,0.77,0.58,0.43,4.85
Jharkhand,Cotton,South,Clay,786.29,19.2,0.71,0.02,0.08,3.15
Haryana,Cotton,North,Clay,1402.4,33.0,0.38,0.88,0.58,7.38
Kerala,Cotton,East,Peaty,474.34,31.7,0.69,0.46,0.83,1.75
Uttar Pradesh,Maize,South,Peaty,1021.14,27.3,0.03,0.13,0.38,3.2
Karnataka,Rice,South,Peaty,942.37,32.1,0.99,0.7,0.38,6.77
Kerala,Wheat,West,Clay,631.21,28.5,0.69,0.05,0.87,1.85
Ladakh,Cotton,North,Sandy,1195.34,17.3,0.55,0.97,0.88,9.11
Tamil Nadu,Wheat,South,Clay,496.03,15.3,0.0,0.23,0.62,4.84
Rajasthan,Soybean,Central,Clay,1234.85,18.0,0.86,0.27,0.16,5.68
Madhya Pradesh,Rice,South,Sandy,1347.21,34.3,0.53,0.37,0.34,3.99
Meghalaya,Soybean,Central,Loamy,559.02,27.2,0.57,0.52,0.6,1.65
Punjab,Wheat,South,Loamy,216.35,39.8,0.82,0.0,0.01,3.73
Nagaland,Cotton,Central,Sandy,1356.67,25.4,0.3,0.05,0.54,5.26
Madhya Pradesh,Cotton,East,Clay,1318.34,24.7,0.68,0.28,0.12,8.86
Maharashtra,Maize,South,Sandy,1378.4,15.3,0.67,0.26,0.46,7.58
Chhattisgarh,Cotton,South,Loamy,320.75,19.3,0.7,0.88,0.57,7.66
Uttar Pradesh,Maize,Central,Loamy,1087.91,32.1,0.3,0.0,0.6,8.07
Jharkhand,Maize,West,Silt,1178.45,38.3,0.85,0.76,0.62,9.11
Meghalaya,Cotton,Central,Sandy,979.99,24.1,0.26,0.37,0.7,2.21
Odisha,Maize,Central,Loamy,879.06,15.5,0.18,0.34,0.32,9.38
Uttarakhand,Cotton,East,Peaty,676.6,29.5,0.38,0.53,0.13,8.94
Meghalaya,Cotton,West,Peaty,1307.72,35.8,0.93,0.0,0.63,3.91
Telangana,Cotton,South,Silt,440.08,17.0,0.91,0.66,0.36,7.55
Tamil Nadu,Maize,West,Loamy,971.65,20.6,0.43,0.79,0.38,1.6
Haryana,Cotton,Central,Sandy,1310.9,34.8,0.02,0.3,0.54,2.03
Manipur,Soybean,South,Clay,299.62,19.8,0.63,0.24,0.09,4.21
Bihar,Cotton,West,Clay,424.01,39.2,0.28,0.12,0.02,6.69
Madhya Pradesh,Rice,East,Sandy,813.27,22.9,0.08,0.66,0.39,3.27
Sikkim,Rice,South,Silt,988.59,26.2,0.87,0.65,0.07,6.74
Haryana,Wheat,North,Sandy,637.47,28.8,0.79,0.7,0.23,6.9
Karnataka,Maize,Central,Clay,1027.15,19.9,0.82,0.42,0.26,8.77
Rajasthan,Cotton,East,Silt,1370.97,24.1,0.89,0.1,0.0,8.73
Uttar Pradesh,Wheat,West,Silt,648.66,39.6,0.77,0.22,0.34,6.15
Goa,Cotton,South,Peaty,276.51,19.9,0.32,0.85,0.73,8.05
Nagaland,Soybean,East,Loamy,202.18,22.1,0.39,0.96,0.83,8.28
Rajasthan,Wheat,West,Loamy,431.31,29.1,0.22,0.87,0.7,5.7
Chhattisgarh,Rice,Central,Loamy,250.24,25.9,0.27,0.04,0.56,8.41
Goa,Rice,East,Sandy,1096.45,37.2,0.36,0.26,0.67,7.97
Kerala,Soybean,North,Sandy,560.55,18.6,0.04,0.88,0.52,2.96
Gujarat,Soybean,East,Sandy,420.94,35.2,0.85,0.34,0.26,4.0
Goa,Wheat,South,Loamy,570.99,23.5,0.81,0.03,0.04,5.94
Tamil Nadu,Soybean,East,Clay,551.35,29.6,0.08,0.82,0.48,9.72
Ladakh,Wheat,East,Peaty,746.09,24.0,0.41,0.75,0.4,2.11
Maharashtra,Cotton,South,Loamy,1432.07,38.5,0.24,0.69,0.68,5.98
Madhya Pradesh,Soybean,East,Loamy,1359.79,39.0,0.33,0.06,0.83,9.41
Haryana,Cotton,South,Silt,1430.95,15.3,0.71,0.45,0.04,5.53
Kerala,Rice,South,Loamy,925.29,16.2,0.42,0.59,0.5,5.32
Mizoram,Rice,South,Clay,1436.52,23.5,0.17,0.92,0.71,9.33
Rajasthan,Maize,West,Loamy,793.5,39.2,0.83,0.53,0.79,7.58
Himachal Pradesh,Soybean,Central,Silt,966.26,24.5,0.93,0.4,0.45,7.87
Sikkim,Soybean,Central,Loamy,416.52,30.6,0.61,0.15,0.28,8.06
Bihar,Soybean,East,Sandy,1422.38,31.0,0.62,0.5,0.67,3.64
Haryana,Rice,South,Sandy,530.07,38.6,0.26,0.18,0.53,2.53
Mizoram,Soybean,East,Peaty,443.05,15.5,0.69,0.26,0.33,8.07
Telangana,Wheat,East,Clay,1216.35,24.8,0.14,0.93,0.63,5.81
West Bengal,Rice,South,Clay,1189.67,37.9,1.0,0.24,0.32,7.72
Rajasthan,Wheat,South,Sandy,546.71,19.1,0.82,0.27,0.08,5.14
Meghalaya,Rice,West,Sandy,713.21,30.5,0.86,0.51,0.99,8.99
Rajasthan,Rice,North,Loamy,592.97,27.3,0.44,0.63,0.66,4.2
Maharashtra,Rice,South,Silt,898.8,27.6,0.49,0.52,0.74,1.76
Nagaland,Soybean,West,Peaty,1305.56,25.7,0.84,0.64,0.12,5.04
West Bengal,Maize,North,Clay,947.06,35.1,0.73,0.3,0.46,4.65
Telangana,Soybean,Central,Loamy,688.6,27.3,0.88,0.14,0.1,3.73
Uttar Pradesh,Maize,West,Silt,585.11,36.5,0.25,0.94,0.59,3.3
Jharkhand,Wheat,East,Loamy,1427.66,27.8,0.67,0.26,0.56,2.07
Kerala,Wheat,East,Loamy,1481.92,34.9,0.95,0.03,0.15,3.99
Assam,Cotton,North,Loamy,329.51,18.2,0.31,0.67,0.43,8.66
Meghalaya,Cotton,South,Sandy,982.14,15.2,0.66,0.71,0.92,3.26
Tamil Nadu,Rice,West,Peaty,825.08,32.8,0.43,0.45,0.87,5.0
Tamil Nadu,Wheat,West,Loamy,725.89,30.2,0.92,0.2,0.22,3.37
Delhi,Wheat,West,Silt,909.04,23.8,0.98,0.74,0.75,8.89
Punjab,Cotton,South,Sandy,738.79,37.2,0.65,0.96,0.8,8.33
Goa,Rice,Central,Sandy,275.85,39.8,0.01,0.52,0.83,8.38
Sikkim,Soybean,West,Silt,1071.91,16.1,0.81,0.57,0.9,6.23
Maharashtra,Maize,South,Loamy,291.02,28.6,0.44,0.2,0.4,4.32
Jharkhand,Wheat,East,Sandy,727.62,31.7,0.27,0.38,0.43,3.96
Odisha,Cotton,Central,Loamy,997.86,23.0,0.42,0.88,0.38,1.01
Nagaland,Soybean,South,Loamy,1349.25,26.0,0.76,0.14,0.61,6.74
Jharkhand,Soybean,North,Sandy,404.3,32.9,0.76,0.77,0.29,8.54
Gujarat,Soybean,South,Loamy,553.28,25.4,0.03,0.43,0.97,5.13
Haryana,Wheat,South,Silt,267.23,36.4,0.58,0.66,0.2,6.09
Chhattisgarh,Rice,Central,Sandy,1412.67,21.4,0.5,0.24,0.77,5.91
Jharkhand,Maize,Central,Loamy,1386.2,37.3,0.23,0.64,0.88,4.32
Andhra Pradesh,Maize,East,Silt,779.48,29.3,0.17,0.39,0.07,2.73
Punjab,Rice,South,Loamy,1193.74,20.8,0.91,0.95,0.99,9.58
Gujarat,Maize,South,Sandy,656.5,36.3,0.02,0.08,0.39,8.14
Kerala,Cotton,Central,Clay,924.75,22.1,0.69,0.76,0.85,9.75
Madhya Pradesh,Cotton,East,Peaty,847.07,17.3,0.09,0.33,0.64,1.39
Chhattisgarh,Wheat,East,Peaty,466.34,39.0,0.23,0.41,0.66,2.21
Assam,Wheat,South,Peaty,367.26,16.1,0.34,0.32,0.18,4.49
Ladakh,Rice,East,Clay,830.24,25.5,0.21,0.22,0.51,6.62
Tripura,Rice,Central,Loamy,1089.92,29.8,0.73,0.19,0.49,1.36
Andhra Pradesh,Cotton,East,Sandy,1202.42,28.4,0.69,0.26,0.61,3.72
Himachal Pradesh,Wheat,Central,Silt,930.83,17.6,0.13,0.89,0.19,3.03
Chhattisgarh,Wheat,South,Loamy,807.29,37.7,0.9,0.41,0.07,8.31
Assam,Cotton,South,Peaty,920.76,37.2,0.48,0.09,0.18,9.7
Tripura,Wheat,North,Clay,849.95,32.4,0.04,0.74,0.76,5.56
Madhya Pradesh,Cotton,West,Clay,944.95,25.0,0.07,0.23,0.4,6.0
Nagaland,Maize,North,Peaty,616.78,20.2,0.54,0.99,0.3,4.69
Arunachal Pradesh,Soybean,East,Silt,331.94,33.4,0.67,0.26,0.29,1.05
Rajasthan,Cotton,East,Silt,764.36,20.4,0.6,0.4,0.22,8.54
Manipur,Soybean,West,Loamy,1042.05,21.1,0.05,0.86,0.27,8.87
Kerala,Wheat,East,Clay,1191.0,36.2,0.21,0.14,0.51,7.75
Gujarat,Maize,South,Loamy,468.49,39.5,0.09,0.93,0.68,2.34
Odisha,Rice,South,Silt,241.05,36.7,0.16,0.26,0.19,5.82
Jharkhand,Rice,West,Peaty,807.09,19.3,0.04,0.28,0.32,9.32
Delhi,Rice,East,Peaty,925.81,35.9,0.63,0.02,0.92,6.51
Madhya Pradesh,Soybean,North,Peaty,1314.13,22.8,0.3,0.26,0.48,7.3
Uttarakhand,Soybean,West,Clay,884.77,25.6,0.83,0.33,0.68,3.16
Assam,Soybean,South,Loamy,483.97,18.5,0.02,0.72,0.19,5.37
Mizoram,Cotton,North,Sandy,379.02,33.1,0.69,0.2,0.17,9.33
Kerala,Cotton,Central,Peaty,740.48,21.2,0.57,0.28,0.13,4.5
Uttarakhand,Soybean,South,Clay,1041.66,36.5,0.79,0.52,0.25,7.35
Goa,Maize,West,Clay,1459.09,37.7,0.37,0.51,0.95,5.53
